opcode,mnemonic,addressing mode,bytes,cycles,page cross,unofficial opcode
0xeb,SBC,IMM,2,2,no,yes

0xc7,DCP,ZP,2,5,no,yes
0xd7,DCP,ZPX,2,6,no,yes
0xcf,DCP,ABS,3,6,no,yes
0xdf,DCP,ABSX,3,7,no,yes
0xdb,DCP,ABSY,3,7,no,yes
0xd3,DCP,INDY,2,8,no,yes
0xc3,DCP,INDX,2,8,no,yes

0x27,RLA,ZP,2,5,no,yes
0x37,RLA,ZPX,2,6,no,yes
0x2f,RLA,ABS,3,6,no,yes
0x3f,RLA,ABSX,3,7,no,yes
0x3b,RLA,ABSY,3,7,no,yes
0x33,RLA,INDY,2,8,no,yes
0x23,RLA,INDX,2,8,no,yes
